date,month,bank,rating,cleaned_review,sentiment_score,sentiment
2020-03-21,2020-03,SBI,4.0,state bank of india is located nearby in our area so i open my saving account from that bank customer service was good i got my bank statement on time the bank agent informed me every details required it is very easy and convenience for money deposits,0.7264,Positive
2020-03-20,2020-03,SBI,5.0,i have my salary account in sbi when i applied for the card i got my statement on time i am very much satisfied with the the account net banking is also functioning smooth and convenient for me there are some offer in the cards which was good,0.7165,Positive
2020-03-20,2020-03,Axis Bank,5.0,i am using axis bank saving account for the past years each transaction will be safe and always secure i am using net banking as well mobile banking service it is used for money transfer and recharge onlythere was no difficulties faced so far on using this saving account,0.4588,Positive
2020-03-20,2020-03,HDFC Bank,5.0,i have my salary bank account in hdfc bank for many years i got my bank statement on timethis bank is available in most of the areas so its very convenience for deposits and update of passbook i have no issues with the customer support and its been good experience,0.5267,Positive
2020-03-20,2020-03,review,5.0,close to around years i am holding this corporation bank savings account the most interesting part about this account i can easily transact and i can withdraw money from anywhere without any charges atm and their branches are near to my residence,0.7357,Positive
2020-03-20,2020-03,IDBI,5.0,i am not getting an alert message from idbi bank whenever i do a transaction from their end to check the account balance details i use to visit branch and get good response from their end i am holding a saving account for the past years and its a zero balance account,0.2528,Positive
2020-03-20,2020-03,SBI,4.0,i am using savings account from sbi more than years if i dont keep any balance they are deducting some amount so i am keep on maintaining the amount i am doing all transactions and emi transfer i am using this account only customer service was okay,0.2263,Positive
2020-03-20,2020-03,Kotak,5.0,its been years i am using kotak bank savings account and its really super service thats why still i have not contacted with the customer service i went through online and i have mentioned my details to open this account and its a zero balance account they havent charged a debit card fees onces i lost my debit card just days i received,0.54,Positive
2020-03-20,2020-03,HDFC Bank,5.0,since i am maintain my savings account from hdfc bank this is salary comes saving account no need to maintain minimum balance i am getting offer messages for loan offer and i never spoke to customer care for cash withdrawal shopping and all i use to get instant message,0.2732,Positive
2020-03-19,2020-03,Axis Bank,5.0,an executive has made to open an account with axis so i have been using this account last months before only there is no atm but it will not be charge for other atm transaction there is no much branches are avail in my city so far i didnt faced any fraudulent issue,0.0108,Neutral
2020-03-19,2020-03,Kotak,5.0,i came to know that there is trial of charge to open a saving account with kotak which is app saving account in which all the process was done through online i maintain this account more than years no need to maintain a minimum balance i have not done much transaction in this account,-0.3535,Negative
2020-03-19,2020-03,SBI,5.0,my mother has suggested sbi to open a saving account with them since she is govt employee know all benefits and details hence i am having an account with them past years need to maintain a minimum balance of k atm and branches are near i use to get all details and update from bank,0.3818,Positive
2020-03-19,2020-03,HDFC Bank,5.0,i am using hdfc saving account for more than years when i joined my previous company they made me to open a salary account with this bank later i resigned that job so now converted to saving account need to maintain a minimum balance of k its kind high if not maintain an amount charges are final i get calls from banker if they provide any offers for other products,0.0772,Positive
2020-03-19,2020-03,review,3.0,indian bank cash deposit machine is not convenient to use and i am using this saving account more than years the customer service is need to improve and i am keeping minimum balance of rs their net banking facility is okay i went to the branch for the cash deposit and the response is okay,0.6908,Positive
